"","date_use","cumulative_persons_tested_all","cumulative_positive_persons_all","percent_positive_persons_cum","persons_tested_all","positive_persons_all","percent_positive_persons","avg_persons_tested_all","avg_positive_persons_all","percent_positive_persons_cum_avg"
"1",2020-08-18,2103204,217158,"10.3%",13,5,"38.5%",10174,1066,"10.5%"
"2",2020-08-17,2103191,217153,"10.3%",548,57,"10.4%",13086,1364,"10.4%"
"3",2020-08-16,2102643,217096,"10.3%",5842,723,"12.4%",14836,1560,"10.5%"
"4",2020-08-15,2096801,216373,"10.3%",9852,1158,"11.8%",15786,1661,"10.5%"
"5",2020-08-14,2086949,215215,"10.3%",16077,1629,"10.1%",16433,1733,"10.5%"
"6",2020-08-13,2070872,213586,"10.3%",19457,1865,"9.6%",17216,1822,"10.6%"
"7",2020-08-12,2051415,211721,"10.3%",19428,2027,"10.4%",17429,1855,"10.6%"
"8",2020-08-11,2031987,209694,"10.3%",20397,2089,"10.2%",17810,1896,"10.6%"
"9",2020-08-10,2011590,207605,"10.3%",12796,1427,"11.2%",17894,1961,"11%"
"10",2020-08-09,1998794,206178,"10.3%",12495,1429,"11.4%",17920,1966,"11%"
"11",2020-08-08,1986299,204749,"10.3%",14381,1664,"11.6%",18092,1987,"11%"
"12",2020-08-07,1971918,203085,"10.3%",21559,2255,"10.5%",18492,2010,"10.9%"
"13",2020-08-06,1950359,200830,"10.3%",20944,2094,"10%",18618,2021,"10.9%"
"14",2020-08-05,1929415,198736,"10.3%",22099,2317,"10.5%",18977,2091,"11%"
"15",2020-08-04,1907316,196419,"10.3%",20984,2541,"12.1%",19974,2118,"10.6%"
"16",2020-08-03,1886332,193878,"10.3%",12977,1461,"11.3%",21538,2214,"10.3%"
"17",2020-08-02,1873355,192417,"10.3%",13701,1574,"11.5%",21842,2240,"10.3%"
"18",2020-08-01,1859654,190843,"10.3%",17181,1829,"10.6%",22446,2292,"10.2%"
"19",2020-07-31,1842473,189014,"10.3%",22442,2330,"10.4%",21707,2286,"10.5%"
"20",2020-07-30,1820031,186684,"10.3%",23455,2582,"11%",20998,2327,"11.1%"
"21",2020-07-29,1796576,184102,"10.2%",29081,2511,"8.6%",20824,2437,"11.7%"
"22",2020-07-28,1767495,181591,"10.3%",31927,3214,"10.1%",20170,2536,"12.6%"
"23",2020-07-27,1735568,178377,"10.3%",15110,1640,"10.9%",19029,2567,"13.5%"
"24",2020-07-26,1720458,176737,"10.3%",17927,1935,"10.8%",19090,2627,"13.8%"
"25",2020-07-25,1702531,174802,"10.3%",12010,1793,"14.9%",18774,2619,"14%"
"26",2020-07-24,1690521,173009,"10.2%",17474,2615,"15%",19864,2720,"13.7%"
"27",2020-07-23,1673047,170394,"10.2%",22237,3349,"15.1%",21116,2798,"13.3%"
"28",2020-07-22,1650810,167045,"10.1%",24505,3206,"13.1%",21932,2811,"12.8%"
"29",2020-07-21,1626305,163839,"10.1%",23939,3428,"14.3%",21944,2802,"12.8%"
"30",2020-07-20,1602366,160411,"10%",15537,2060,"13.3%",22526,2838,"12.6%"
"31",2020-07-19,1586829,158351,"10%",15718,1881,"12%",22707,2896,"12.8%"
"32",2020-07-18,1571111,156470,"10%",19641,2504,"12.7%",22724,2938,"12.9%"
"33",2020-07-17,1551470,153966,"9.9%",26234,3161,"12%",22910,2988,"13%"
"34",2020-07-16,1525236,150805,"9.9%",27952,3435,"12.3%",22967,3032,"13.2%"
"35",2020-07-15,1497284,147370,"9.8%",24584,3148,"12.8%",22769,3033,"13.3%"
"36",2020-07-14,1472700,144222,"9.8%",28016,3679,"13.1%",22334,3029,"13.6%"
"37",2020-07-13,1444684,140543,"9.7%",16803,2465,"14.7%",22065,3011,"13.6%"
"38",2020-07-12,1427881,138078,"9.7%",15840,2175,"13.7%",22452,3045,"13.6%"
