"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"1","City of Agoura Hills",139,666,650,2,10,10,20883
"2","City of Alhambra",1097,1265,1259,23,27,18,86724
"3","City of Arcadia",428,741,714,30,52,33,57754
"4","City of Artesia",288,1715,1669,4,24,15,16795
"5","City of Avalon",5,129,151,0,0,0,3869
"6","City of Azusa",1330,2658,2664,15,30,35,50040
"7","City of Baldwin Park",2495,3250,3222,72,94,108,76769
"8","City of Bell",1389,3823,3850,36,99,134,36332
"9","City of Bell Gardens",1702,3952,3991,21,49,77,43071
"10","City of Bellflower",2085,2682,2665,54,69,80,77735
"11","City of Beverly Hills",593,1718,1693,11,32,16,34520
"12","City of Bradbury",13,1216,1445,0,0,0,1069
"13","City of Burbank",1248,1164,1093,55,51,40,107180
"14","City of Calabasas",229,942,877,12,49,41,24323
"15","City of Carson",1619,1725,1676,48,51,40,93846
"16","City of Cerritos",495,989,1041,13,26,19,50067
"17","City of Claremont",323,885,916,8,22,13,36484
"18","City of Commerce",505,3864,3824,8,61,66,13069
"19","City of Compton",3534,3537,3537,55,55,68,99904
"20","City of Covina",1191,2429,2407,22,45,41,49032
"21","City of Cudahy",985,4046,4097,15,62,102,24347
"22","City of Culver City",361,906,875,29,73,49,39865
"23","City of Diamond Bar",479,833,816,7,12,8,57515
"24","City of Downey",3572,3126,3053,76,67,65,114263
"25","City of Duarte",444,2017,1890,25,114,71,22016
"26","City of El Monte",3886,3314,3280,129,110,111,117269
"27","City of El Segundo",115,685,662,1,6,3,16786
"28","City of Gardena",1067,1740,1724,37,60,42,61310
"29","City of Glendale",2916,1412,1293,157,76,52,206493
"30","City of Glendora",1116,2115,1980,61,116,87,52764
"31","City of Hawaiian Gardens",467,3182,3121,2,14,16,14676
"32","City of Hawthorne",1721,1938,1919,36,41,48,88787
"33","City of Hermosa Beach",183,930,896,3,15,20,19670
"34","City of Hidden Hills",7,370,204,0,0,0,1890
"35","City of Huntington Park",2509,4218,4200,39,66,85,59484
"36","City of Industry",30,6865,7269,2,458,556,437
"37","City of Inglewood",2529,2227,2200,82,72,78,113582
"38","City of Irwindale",61,4181,4209,2,137,155,1459
