"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"1","City of Agoura Hills",128,613,605,2,10,10,20883
"2","City of Alhambra",1059,1221,1217,21,24,17,86724
"3","City of Arcadia",410,710,679,28,48,31,57754
"4","City of Artesia",273,1625,1579,4,24,15,16795
"5","City of Avalon",5,129,151,0,0,0,3869
"6","City of Azusa",1275,2548,2554,15,30,35,50040
"7","City of Baldwin Park",2437,3174,3149,69,90,104,76769
"8","City of Bell",1365,3757,3786,35,96,131,36332
"9","City of Bell Gardens",1652,3836,3872,20,46,74,43071
"10","City of Bellflower",2027,2608,2588,51,66,74,77735
"11","City of Beverly Hills",580,1680,1658,10,29,15,34520
"12","City of Bradbury",13,1216,1445,0,0,0,1069
"13","City of Burbank",1187,1107,1039,54,50,39,107180
"14","City of Calabasas",223,917,847,12,49,41,24323
"15","City of Carson",1520,1620,1573,45,48,38,93846
"16","City of Cerritos",482,963,1016,13,26,19,50067
"17","City of Claremont",314,861,894,8,22,13,36484
"18","City of Commerce",492,3765,3727,4,31,28,13069
"19","City of Compton",3420,3423,3421,52,52,65,99904
"20","City of Covina",1157,2360,2341,21,43,39,49032
"21","City of Cudahy",961,3947,3987,15,62,102,24347
"22","City of Culver City",352,883,851,29,73,49,39865
"23","City of Diamond Bar",467,812,794,7,12,8,57515
"24","City of Downey",3479,3045,2971,75,66,65,114263
"25","City of Duarte",433,1967,1839,25,114,71,22016
"26","City of El Monte",3792,3234,3200,122,104,105,117269
"27","City of El Segundo",110,655,635,1,6,3,16786
"28","City of Gardena",1023,1669,1653,36,59,41,61310
"29","City of Glendale",2789,1351,1233,150,73,50,206493
"30","City of Glendora",1099,2083,1950,57,108,82,52764
"31","City of Hawaiian Gardens",449,3059,3000,2,14,16,14676
"32","City of Hawthorne",1673,1884,1861,33,37,43,88787
"33","City of Hermosa Beach",178,905,869,3,15,20,19670
"34","City of Hidden Hills",7,370,204,0,0,0,1890
"35","City of Huntington Park",2457,4131,4113,38,64,83,59484
"36","City of Industry",29,6636,7118,2,458,556,437
"37","City of Inglewood",2460,2166,2140,81,71,77,113582
"38","City of Irwindale",60,4112,4153,2,137,155,1459
"39","City of La Canada Flintridge",144,696,804,7,34,21,20693
"40","City of La Habra Heights",32,587,546,0,0,0,5455
"41","City of La Mirada",733,1478,1402,24,48,34,49599
"42","City of La Puente",1272,3126,3057,12,29,31,40697
"43","City of La Verne",378,1136,1182,10,30,16,33282
"44","City of Lakewood",1056,1314,1315,8,10,8,80362
"45","City of Lancaster",2627,1626,1646,36,22,28,161570
"46","City of Lawndale",543,1615,1566,9,27,34,33614
"47","City of Lomita",209,1008,979,8,39,26,20729
"48","City of Lynwood",2790,3872,3991,85,118,184,72047
"49","City of Malibu",91,702,698,3,23,11,12961
"50","City of Manhattan Beach",296,822,817,4,11,10,35999
"51","City of Maywood",1215,4332,4499,30,107,162,28049
"52","City of Monrovia",626,1613,1602,34,88,84,38800
"53","City of Montebello",1916,2976,2944,41,64,52,64375
"54","City of Monterey Park",806,1295,1268,24,39,20,62262
"55","City of Norwalk",2809,2610,2539,58,54,53,107622
"56","City of Palmdale",3299,2075,2101,46,29,35,158968
"57","City of Palos Verdes Estates",77,569,548,2,15,7,13522
"58","City of Paramount",2076,3706,3657,22,39,50,56023
"59","City of Pico Rivera",2051,3191,3119,60,93,80,64284
"60","City of Pomona",4633,2971,2945,85,55,65,155931
"61","City of Rancho Palos Verdes",250,585,606,12,28,13,42747
"62","City of Redondo Beach",488,710,737,9,13,14,68697
"63","City of Rolling Hills",5,258,480,0,0,0,1940
"64","City of Rolling Hills Estates",34,419,558,2,25,13,8113
"65","City of Rosemead",703,1270,1240,23,42,31,55350
"66","City of San Dimas",437,1266,1283,10,29,21,34516
"67","City of San Fernando",743,3019,2998,17,69,86,24612
