"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2020-08-21,218378,116,941,5225,8,23
"2",2020-08-20,218262,892,1120,5217,20,25
"3",2020-08-19,217370,1264,1204,5197,30,25
"4",2020-08-18,216106,1358,1256,5167,26,24
"5",2020-08-17,214748,1403,1298,5141,27,26
"6",2020-08-16,213345,497,1390,5114,25,28
"7",2020-08-15,212848,1058,1413,5089,23,30
"8",2020-08-14,211790,1369,1446,5066,26,31
"9",2020-08-13,210421,1476,1513,5040,17,31
"10",2020-08-12,208945,1632,1565,5023,24,34
"11",2020-08-11,207313,1648,1619,4999,41,35
"12",2020-08-10,205665,2047,1697,4958,42,36
"13",2020-08-09,203618,661,1714,4916,37,36
"14",2020-08-08,202957,1289,1723,4879,27,36
"15",2020-08-07,201668,1836,1773,4852,32,39
"16",2020-08-06,199832,1842,1813,4820,35,39
"17",2020-08-05,197990,2010,1875,4785,34,40
"18",2020-08-04,195980,2192,1921,4751,48,41
"19",2020-08-03,193788,2166,1976,4703,39,38
"20",2020-08-02,191622,726,2041,4664,39,38
"21",2020-08-01,190896,1636,2050,4625,44,38
"22",2020-07-31,189260,2121,2103,4581,36,39
"23",2020-07-30,187139,2274,2156,4545,42,40
"24",2020-07-29,184865,2333,2179,4503,36,39
"25",2020-07-28,182532,2577,2262,4467,29,41
"26",2020-07-27,179955,2622,2332,4438,42,44
"27",2020-07-26,177333,788,2430,4396,39,43
"28",2020-07-25,176545,2004,2469,4357,48,43
"29",2020-07-24,174541,2494,2516,4309,42,40
"30",2020-07-23,172047,2433,2626,4267,39,40
"31",2020-07-22,169614,2914,2760,4228,49,40
"32",2020-07-21,166700,3068,2768,4179,46,38
"33",2020-07-20,163632,3306,2808,4133,41,38
"34",2020-07-19,160326,1065,2835,4092,33,40
"35",2020-07-18,159261,2335,2857,4059,32,39
"36",2020-07-17,156926,3258,2875,4027,38,39
"37",2020-07-16,153668,3371,2866,3989,41,40
"38",2020-07-15,150297,2970,2851,3948,35,39
"39",2020-07-14,147327,3351,2907,3913,46,39
"40",2020-07-13,143976,3492,2918,3867,56,37
"41",2020-07-12,140484,1225,2803,3811,28,34
"42",2020-07-11,139259,2461,2799,3783,32,36
"43",2020-07-10,136798,3190,2580,3751,40,35
"44",2020-07-09,133608,3270,2341,3711,33,34
"45",2020-07-08,130338,3362,2339,3678,37,35
"46",2020-07-07,126976,3427,2342,3641,34,34
"47",2020-07-06,123549,2683,2285,3607,37,34
"48",2020-07-05,120866,1201,2315,3570,37,33
"49",2020-07-04,119665,927,2298,3533,29,34
"50",2020-07-03,118738,1519,2457,3504,33,33
"51",2020-07-02,117219,3254,2646,3471,40,33
"52",2020-07-01,113965,3383,2599,3431,29,31
"53",2020-06-30,110582,3029,2497,3402,34,32
"54",2020-06-29,107553,2895,2428,3368,32,30
"55",2020-06-28,104658,1077,2370,3336,38,30
"56",2020-06-27,103581,2045,2362,3298,24,29
"57",2020-06-26,101536,2840,2316,3274,31,31
"58",2020-06-25,98696,2927,2198,3243,27,31
"59",2020-06-24,95769,2667,2089,3216,37,31
"60",2020-06-23,93102,2542,2021,3179,21,32
"61",2020-06-22,90560,2493,1930,3158,29,32
"62",2020-06-21,88067,1019,1864,3129,32,33
"63",2020-06-20,87048,1726,1808,3097,38,32
"64",2020-06-19,85322,2013,1713,3059,34,31
"65",2020-06-18,83309,2161,1613,3025,28,30
"66",2020-06-17,81148,2192,1484,2997,40,30
"67",2020-06-16,78956,1907,1368,2957,24,28
"68",2020-06-15,77049,2032,1279,2933,32,29
"69",2020-06-14,75017,622,1199,2901,29,30
"70",2020-06-13,74395,1063,1197,2872,27,31
"71",2020-06-12,73332,1313,1201,2845,31,32
"72",2020-06-11,72019,1261,1214,2814,25,33
"73",2020-06-10,70758,1377,1256,2789,26,36
"74",2020-06-09,69381,1285,1249,2763,36,39
"75",2020-06-08,68096,1471,1256,2727,36,38
"76",2020-06-07,66625,606,1206,2691,35,38
"77",2020-06-06,66019,1091,1189,2656,35,37
"78",2020-06-05,64928,1406,1162,2621,39,37
"79",2020-06-04,63522,1558,1158,2582,45,36
"80",2020-06-03,61964,1325,1121,2537,45,35
"81",2020-06-02,60639,1337,1119,2492,30,35
"82",2020-06-01,59302,1122,1149,2462,35,36
"83",2020-05-31,58180,487,1103,2427,30,35
"84",2020-05-30,57693,900,1107,2397,37,36
"85",2020-05-29,56793,1377,1087,2360,33,36
"86",2020-05-28,55416,1300,1030,2327,32,37
"87",2020-05-27,54116,1313,982,2295,45,37
"88",2020-05-26,52803,1544,960,2250,41,34
"89",2020-05-25,51259,803,881,2209,28,35
"90",2020-05-24,50456,512,927,2181,37,37
"91",2020-05-23,49944,761,930,2144,35,37
"92",2020-05-22,49183,974,931,2109,43,40
"93",2020-05-21,48209,965,966,2066,28,40
"94",2020-05-20,47244,1163,1005,2038,29,40
"95",2020-05-19,46081,986,971,2009,46,42
"96",2020-05-18,45095,1128,985,1963,43,42
"97",2020-05-17,43967,533,991,1920,37,40
"98",2020-05-16,43434,765,998,1883,53,39
"99",2020-05-15,42669,1219,989,1830,41,38
"100",2020-05-14,41450,1238,958,1789,32,40
"101",2020-05-13,40212,926,915,1757,40,42
"102",2020-05-12,39286,1085,925,1717,48,44
"103",2020-05-11,38201,1170,949,1669,28,42
"104",2020-05-10,37031,582,912,1641,31,44
"105",2020-05-09,36449,701,895,1610,49,46
"106",2020-05-08,35748,1002,895,1561,49,46
"107",2020-05-07,34746,942,883,1512,50,44
"108",2020-05-06,33804,996,879,1462,53,44
"109",2020-05-05,32808,1249,878,1409,36,42
"110",2020-05-04,31559,911,838,1373,43,45
"111",2020-05-03,30648,462,863,1330,44,44
"112",2020-05-02,30186,706,883,1286,49,43
"113",2020-05-01,29480,918,910,1237,36,42
"114",2020-04-30,28562,913,922,1201,45,43
"115",2020-04-29,27649,989,930,1156,42,44
"116",2020-04-28,26660,970,900,1114,54,45
"117",2020-04-27,25690,1080,888,1060,37,43
"118",2020-04-26,24610,602,867,1023,41,44
"119",2020-04-25,24008,897,850,982,40,43
"120",2020-04-24,23111,1004,808,942,44,43
"121",2020-04-23,22107,970,784,898,50,42
"122",2020-04-22,21137,780,755,848,47,44
"123",2020-04-21,20357,880,765,801,40,42
"124",2020-04-20,19477,936,734,761,47,43
"125",2020-04-19,18541,482,697,714,36,42
"126",2020-04-18,18059,607,689,678,38,42
"127",2020-04-17,17452,834,671,640,39,41
"128",2020-04-16,16618,764,635,601,58,40
"129",2020-04-15,15854,850,608,543,35,37
"130",2020-04-14,15004,667,573,508,47,37
"131",2020-04-13,14337,674,577,461,42,34
"132",2020-04-12,13663,427,556,419,37,31
"133",2020-04-11,13236,482,580,382,30,29
"134",2020-04-10,12754,580,595,352,30,27
"135",2020-04-09,12174,575,625,322,35,27
"136",2020-04-08,11599,604,630,287,39,25
"137",2020-04-07,10995,697,632,248,26,22
"138",2020-04-06,10298,526,624,222,17,21
"139",2020-04-05,9772,593,637,205,23,20
"140",2020-04-04,9179,588,605,182,21,19
"141",2020-04-03,8591,789,577,161,26,17
"142",2020-04-02,7802,612,517,135,22,14
"143",2020-04-01,7190,617,483,113,19,12
"144",2020-03-31,6573,643,457,94,16,10
"145",2020-03-30,5930,615,405,78,11,8
"146",2020-03-29,5315,369,358,67,15,8
"147",2020-03-28,4946,393,341,52,8,6
"148",2020-03-27,4553,370,313,44,9,5
"149",2020-03-26,4183,371,295,35,4,4
"150",2020-03-25,3812,436,273,31,7,4
"151",2020-03-24,3376,282,237,24,3,3
"152",2020-03-23,3094,287,227,21,7,3
"153",2020-03-22,2807,251,217,14,4,2
"154",2020-03-21,2556,192,205,10,3,1
"155",2020-03-20,2364,248,198,7,3,1
"156",2020-03-19,2116,217,184,4,4,1
"157",2020-03-18,1899,185,176,0,0,0
"158",2020-03-17,1714,207,168,0,0,0
"159",2020-03-16,1507,220,152,0,0,0
"160",2020-03-15,1287,168,133,0,0,0
"161",2020-03-14,1119,143,116,0,0,0
"162",2020-03-13,976,149,101,0,0,0
"163",2020-03-12,827,158,86,0,0,0
"164",2020-03-11,669,132,68,0,0,0
"165",2020-03-10,537,96,52,0,0,0
"166",2020-03-09,441,87,40,0,0,0
"167",2020-03-08,354,46,30,0,0,0
"168",2020-03-07,308,41,27,0,0,0
"169",2020-03-06,267,42,NA,0,0,NA
"170",2020-03-05,225,33,NA,0,0,NA
"171",2020-03-04,192,18,NA,0,0,NA
"172",2020-03-03,174,13,NA,0,0,NA
"173",2020-03-02,161,18,NA,0,0,NA
"174",2020-03-01,143,25,NA,0,0,NA
