"","date_use","cumulative_persons_tested_all","cumulative_positive_persons_all","percent_positive_persons_cum","persons_tested_all","positive_persons_all","percent_positive_persons","avg_persons_tested_all","avg_positive_persons_all","percent_positive_persons_cum_avg"
"1",2020-08-22,2168206,223796,"10.3%",14,8,"57.1%",9314,1045,"11.2%"
"2",2020-08-21,2168192,223788,"10.3%",2833,352,"12.4%",11082,1252,"11.3%"
"3",2020-08-20,2165359,223436,"10.3%",10437,1348,"12.9%",13237,1459,"11%"
"4",2020-08-19,2154922,222088,"10.3%",14070,1599,"11.4%",14635,1565,"10.7%"
"5",2020-08-18,2140852,220489,"10.3%",16292,1758,"10.8%",15455,1635,"10.6%"
"6",2020-08-17,2124560,218731,"10.3%",12887,1338,"10.4%",16118,1698,"10.5%"
"7",2020-08-16,2111673,217393,"10.3%",8666,910,"10.5%",16138,1722,"10.7%"
"8",2020-08-15,2103007,216483,"10.3%",12392,1457,"11.8%",16697,1810,"10.8%"
"9",2020-08-14,2090615,215026,"10.3%",17913,1803,"10.1%",16998,1861,"10.9%"
"10",2020-08-13,2072702,213223,"10.3%",20224,2091,"10.3%",17549,1955,"11.1%"
"11",2020-08-12,2052478,211132,"10.3%",19811,2089,"10.5%",17696,1992,"11.3%"
"12",2020-08-11,2032667,209043,"10.3%",20931,2197,"10.5%",18072,2062,"11.4%"
"13",2020-08-10,2011736,206846,"10.3%",13027,1505,"11.6%",18115,2136,"11.8%"
"14",2020-08-09,1998709,205341,"10.3%",12579,1525,"12.1%",18128,2137,"11.8%"
"15",2020-08-08,1986130,203816,"10.3%",14499,1815,"12.5%",18316,2166,"11.8%"
"16",2020-08-07,1971631,202001,"10.2%",21771,2460,"11.3%",18747,2210,"11.8%"
"17",2020-08-06,1949860,199541,"10.2%",21257,2351,"11.1%",18881,2223,"11.8%"
"18",2020-08-05,1928603,197190,"10.2%",22437,2579,"11.5%",19232,2287,"11.9%"
"19",2020-08-04,1906166,194611,"10.2%",21235,2719,"12.8%",20196,2289,"11.3%"
"20",2020-08-03,1884931,191892,"10.2%",13119,1513,"11.5%",21722,2354,"10.8%"
"21",2020-08-02,1871812,190379,"10.2%",13892,1728,"12.4%",22048,2375,"10.8%"
"22",2020-08-01,1857920,188651,"10.2%",17519,2119,"12.1%",22616,2384,"10.5%"
"23",2020-07-31,1840401,186532,"10.1%",22708,2554,"11.2%",21815,2323,"10.6%"
"24",2020-07-30,1817693,183978,"10.1%",23714,2800,"11.8%",21033,2298,"10.9%"
"25",2020-07-29,1793979,181178,"10.1%",29187,2591,"8.9%",20790,2338,"11.2%"
"26",2020-07-28,1764792,178587,"10.1%",31918,3170,"9.9%",20113,2400,"11.9%"
"27",2020-07-27,1732874,175417,"10.1%",15397,1665,"10.8%",18980,2412,"12.7%"
"28",2020-07-26,1717477,173752,"10.1%",17869,1787,"10%",19011,2457,"12.9%"
"29",2020-07-25,1699608,171965,"10.1%",11912,1692,"14.2%",18692,2455,"13.1%"
"30",2020-07-24,1687696,170273,"10.1%",17231,2384,"13.8%",19769,2537,"12.8%"
"31",2020-07-23,1670465,167889,"10.1%",22019,3080,"14%",21032,2618,"12.4%"
"32",2020-07-22,1648446,164809,"10%",24448,3022,"12.4%",21857,2639,"12.1%"
"33",2020-07-21,1623998,161787,"10%",23982,3256,"13.6%",21886,2653,"12.1%"
"34",2020-07-20,1600016,158531,"9.9%",15618,1979,"12.7%",22442,2692,"12%"
"35",2020-07-19,1584398,156552,"9.9%",15634,1775,"11.4%",22606,2751,"12.2%"
"36",2020-07-18,1568764,154777,"9.9%",19451,2262,"11.6%",22617,2790,"12.3%"
"37",2020-07-17,1549313,152515,"9.8%",26070,2954,"11.3%",22817,2863,"12.5%"
"38",2020-07-16,1523243,149561,"9.8%",27793,3228,"11.6%",22871,2912,"12.7%"
"39",2020-07-15,1495450,146333,"9.8%",24653,3117,"12.6%",22692,2940,"13%"
"40",2020-07-14,1470797,143216,"9.7%",27872,3528,"12.7%",22217,2914,"13.1%"
"41",2020-07-13,1442925,139688,"9.7%",16769,2390,"14.3%",21947,2899,"13.2%"
"42",2020-07-12,1426156,137298,"9.6%",15709,2054,"13.1%",22324,2931,"13.1%"
"43",2020-07-11,1410447,135244,"9.6%",20851,2773,"13.3%",20975,2784,"13.3%"
"44",2020-07-10,1389596,132471,"9.5%",26450,3295,"12.5%",18873,2541,"13.5%"
"45",2020-07-09,1363146,129176,"9.5%",26540,3425,"12.9%",16936,2317,"13.7%"
"46",2020-07-08,1336606,125751,"9.4%",21330,2934,"13.8%",17350,2361,"13.6%"
"47",2020-07-07,1315276,122817,"9.3%",25980,3424,"13.2%",18262,2466,"13.5%"
"48",2020-07-06,1289296,119393,"9.3%",19410,2612,"13.5%",18295,2445,"13.4%"
"49",2020-07-05,1269886,116781,"9.2%",6265,1023,"16.3%",18990,2462,"13%"
"50",2020-07-04,1263621,115758,"9.2%",6133,1075,"17.5%",19191,2460,"12.8%"
"51",2020-07-03,1257488,114683,"9.1%",12895,1726,"13.4%",21140,2615,"12.4%"
"52",2020-07-02,1244593,112957,"9.1%",29436,3731,"12.7%",23094,2790,"12.1%"
"53",2020-07-01,1215157,109226,"9%",27712,3671,"13.2%",22466,2689,"12%"
"54",2020-06-30,1187445,105555,"8.9%",26213,3280,"12.5%",21663,2551,"11.8%"
"55",2020-06-29,1161232,102275,"8.8%",24273,2726,"11.2%",21035,2469,"11.7%"
"56",2020-06-28,1136959,99549,"8.8%",7674,1014,"13.2%",20196,2377,"11.8%"
"57",2020-06-27,1129285,98535,"8.7%",19776,2158,"10.9%",20110,2371,"11.8%"
"58",2020-06-26,1109509,96377,"8.7%",26573,2950,"11.1%",19034,2297,"12.1%"
"59",2020-06-25,1082936,93427,"8.6%",25042,3023,"12.1%",17743,2167,"12.2%"
"60",2020-06-24,1057894,90404,"8.5%",22093,2707,"12.3%",16531,2030,"12.3%"
"61",2020-06-23,1035801,87697,"8.5%",21814,2705,"12.4%",15893,1948,"12.3%"
