Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,8090.0,16167.0,16302.0,1255.0,2508.0,2520.0,50040.0
2020-08-22,,,,,,,,8090.0,16167.0,16302.0,1255.0,2508.0,2520.0,50040.0
2020-08-27,1380,2758,2769,17,34,40,50040,8740.0,17466.0,17604.0,1362.0,2722.0,2739.0,50040.0
2020-08-29,1395,2788,2800,17,34,40,50040.0,,,,,,,
2020-08-30,1409,2816,2829,17,34,40,50040.0,,,,,,,
2020-08-31,,,,,,,,8999.0,17984.0,18133.0,1394.0,2786.0,2806.0,50040.0
2020-09-01,"{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': 50040.0}",,,,,,,
2020-09-03,"{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': 50040.0}",,,,,,,
2020-09-04,"{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': nan}","{('City of Azusa',): nan, 'City of Azusa': 50040.0}",,,,,,,
2020-09-05,,,,,,,,9284.0,18553.0,18695.0,1428.0,2854.0,2873.0,50040.0
2020-09-07,{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan},{'City of Azusa': nan}
