Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,15022.0,19325.0,18952.0,1996.0,2568.0,2554.0,77735.0
2020-08-22,,,,,,,,15022.0,19325.0,18952.0,1996.0,2568.0,2554.0,77735.0
2020-08-27,2149,2765,2750,56,72,82,77735,15849.0,20388.0,20002.0,2122.0,2730.0,2720.0,77735.0
2020-08-29,2168,2789,2774,56,72,82,77735.0,,,,,,,
2020-08-30,2180,2804,2790,57,73,83,77735.0,,,,,,,
2020-08-31,,,,,,,,16242.0,20894.0,20516.0,2162.0,2781.0,2772.0,77735.0
2020-09-01,"{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': 77735.0}",,,,,,,
2020-09-03,"{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': 77735.0}",,,,,,,
2020-09-04,"{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': nan}","{('City of Bellflower',): nan, 'City of Bellflower': 77735.0}",,,,,,,
2020-09-05,,,,,,,,16636.0,21401.0,21022.0,2216.0,2851.0,2840.0,77735.0
2020-09-07,{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan},{'City of Bellflower': nan}
