Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,13624.0,39467.0,39093.0,545.0,1579.0,1573.0,34520.0
2020-08-22,,,,,,,,13624.0,39467.0,39093.0,545.0,1579.0,1573.0,34520.0
2020-08-27,609,1764,1754,11,32,16,34520,14377.0,41648.0,41350.0,571.0,1654.0,1655.0,34520.0
2020-08-29,613,1776,1763,11,32,16,34520.0,,,,,,,
2020-08-30,613,1776,1763,11,32,16,34520.0,,,,,,,
2020-08-31,,,,,,,,14585.0,42251.0,41934.0,576.0,1669.0,1667.0,34520.0
2020-09-01,"{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': 34520.0}",,,,,,,
2020-09-03,"{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': 34520.0}",,,,,,,
2020-09-04,"{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': nan}","{('City of Beverly Hills',): nan, 'City of Beverly Hills': 34520.0}",,,,,,,
2020-09-05,,,,,,,,14907.0,43184.0,42831.0,588.0,1703.0,1698.0,34520.0
2020-09-07,{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan},{'City of Beverly Hills': nan}
