Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,51.0,4771.0,4529.0,11.0,1029.0,1313.0,1069.0
2020-08-22,,,,,,,,51.0,4771.0,4529.0,11.0,1029.0,1313.0,1069.0
2020-08-27,13,1216,1445,0,0,0,1069,51.0,4771.0,4529.0,11.0,1029.0,1313.0,1069.0
2020-08-29,13,1216,1445,0,0,0,1069.0,,,,,,,
2020-08-30,13,1216,1445,0,0,0,1069.0,,,,,,,
2020-08-31,,,,,,,,51.0,4771.0,4529.0,11.0,1029.0,1313.0,1069.0
2020-09-01,"{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': 1069.0}",,,,,,,
2020-09-03,"{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': 1069.0}",,,,,,,
2020-09-04,"{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': nan}","{('City of Bradbury',): nan, 'City of Bradbury': 1069.0}",,,,,,,
2020-09-05,,,,,,,,52.0,4864.0,4674.0,12.0,1123.0,1457.0,1069.0
2020-09-07,{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan},{'City of Bradbury': nan}
