Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,20222.0,18867.0,18060.0,1136.0,1060.0,1003.0,107180.0
2020-08-22,,,,,,,,20222.0,18867.0,18060.0,1136.0,1060.0,1003.0,107180.0
2020-08-27,1294,1207,1135,55,51,40,107180,21824.0,20362.0,19485.0,1239.0,1156.0,1097.0,107180.0
2020-08-29,1304,1217,1144,55,51,40,107180.0,,,,,,,
2020-08-30,1313,1225,1153,55,51,40,107180.0,,,,,,,
2020-08-31,,,,,,,,22361.0,20863.0,19971.0,1261.0,1177.0,1117.0,107180.0
2020-09-01,"{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': 107180.0}",,,,,,,
2020-09-03,"{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': 107180.0}",,,,,,,
2020-09-04,"{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': nan}","{('City of Burbank',): nan, 'City of Burbank': 107180.0}",,,,,,,
2020-09-05,,,,,,,,23095.0,21548.0,20638.0,1305.0,1218.0,1158.0,107180.0
2020-09-07,{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan},{'City of Burbank': nan}
