Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,4842.0,13272.0,13475.0,313.0,858.0,884.0,36484.0
2020-08-22,,,,,,,,4842.0,13272.0,13475.0,313.0,858.0,884.0,36484.0
2020-08-27,337,924,958,10,27,17,36484,5229.0,14332.0,14527.0,337.0,924.0,950.0,36484.0
2020-08-29,339,929,966,10,27,17,36484.0,,,,,,,
2020-08-30,343,940,980,10,27,17,36484.0,,,,,,,
2020-08-31,,,,,,,,5416.0,14845.0,15061.0,344.0,943.0,980.0,36484.0
2020-09-01,"{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': 36484.0}",,,,,,,
2020-09-03,"{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': 36484.0}",,,,,,,
2020-09-04,"{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': nan}","{('City of Claremont',): nan, 'City of Claremont': 36484.0}",,,,,,,
2020-09-05,,,,,,,,5559.0,15237.0,15432.0,349.0,957.0,989.0,36484.0
2020-09-07,{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan},{'City of Claremont': nan}
