Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,8903.0,22333.0,22309.0,338.0,848.0,816.0,39865.0
2020-08-22,,,,,,,,8903.0,22333.0,22309.0,338.0,848.0,816.0,39865.0
2020-08-27,369,926,896,29,73,49,39865,9510.0,23856.0,23898.0,358.0,898.0,867.0,39865.0
2020-08-29,370,928,898,29,73,49,39865.0,,,,,,,
2020-08-30,370,928,898,29,73,49,39865.0,,,,,,,
2020-08-31,,,,,,,,9735.0,24420.0,24496.0,363.0,911.0,877.0,39865.0
2020-09-01,"{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': 39865.0}",,,,,,,
2020-09-03,"{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': 39865.0}",,,,,,,
2020-09-04,"{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': nan}","{('City of Culver City',): nan, 'City of Culver City': 39865.0}",,,,,,,
2020-09-05,,,,,,,,10038.0,25180.0,25303.0,364.0,913.0,879.0,39865.0
2020-09-07,{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan},{'City of Culver City': nan}
