Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,23352.0,20437.0,19920.0,3448.0,3018.0,2941.0,114263.0
2020-08-22,,,,,,,,23352.0,20437.0,19920.0,3448.0,3018.0,2941.0,114263.0
2020-08-27,3651,3195,3119,77,67,66,114263,24749.0,21660.0,21109.0,3624.0,3172.0,3093.0,114263.0
2020-08-29,3667,3209,3132,78,68,67,114263.0,,,,,,,
2020-08-30,3686,3226,3148,78,68,67,114263.0,,,,,,,
2020-08-31,,,,,,,,25349.0,22185.0,21617.0,3684.0,3224.0,3143.0,114263.0
2020-09-01,"{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': 114263.0}",,,,,,,
2020-09-03,"{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': 114263.0}",,,,,,,
2020-09-04,"{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': nan}","{('City of Downey',): nan, 'City of Downey': 114263.0}",,,,,,,
2020-09-05,,,,,,,,26013.0,22766.0,22191.0,3772.0,3301.0,3223.0,114263.0
2020-09-07,{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan},{'City of Downey': nan}
