Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,3872.0,17587.0,17009.0,403.0,1830.0,1725.0,22016.0
2020-08-22,,,,,,,,3872.0,17587.0,17009.0,403.0,1830.0,1725.0,22016.0
2020-08-27,461,2094,1971,25,114,71,22016,4103.0,18636.0,18049.0,433.0,1967.0,1864.0,22016.0
2020-08-29,466,2117,1996,25,114,71,22016.0,,,,,,,
2020-08-30,470,2135,2011,25,114,71,22016.0,,,,,,,
2020-08-31,,,,,,,,4193.0,19045.0,18453.0,447.0,2030.0,1928.0,22016.0
2020-09-01,"{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': 22016.0}",,,,,,,
2020-09-03,"{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': 22016.0}",,,,,,,
2020-09-04,"{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': nan}","{('City of Duarte',): nan, 'City of Duarte': 22016.0}",,,,,,,
2020-09-05,,,,,,,,4297.0,19518.0,18934.0,482.0,2189.0,2061.0,22016.0
2020-09-07,{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan},{'City of Duarte': nan}
