Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,20966.0,17879.0,17561.0,3744.0,3193.0,3157.0,117269.0
2020-08-22,,,,,,,,20966.0,17879.0,17561.0,3744.0,3193.0,3157.0,117269.0
2020-08-27,3964,3380,3348,130,111,112,117269,22107.0,18852.0,18524.0,3940.0,3360.0,3324.0,117269.0
2020-08-29,3983,3396,3363,131,112,113,117269.0,,,,,,,
2020-08-30,4002,3413,3379,133,113,115,117269.0,,,,,,,
2020-08-31,,,,,,,,22589.0,19263.0,18927.0,3994.0,3406.0,3369.0,117269.0
2020-09-01,"{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': 117269.0}",,,,,,,
2020-09-03,"{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': 117269.0}",,,,,,,
2020-09-04,"{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': nan}","{('City of El Monte',): nan, 'City of El Monte': 117269.0}",,,,,,,
2020-09-05,,,,,,,,23154.0,19744.0,19399.0,4098.0,3495.0,3457.0,117269.0
2020-09-07,{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan},{'City of El Monte': nan}
