Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,11725.0,19711.0,19513.0,2428.0,4082.0,4060.0,59484.0
2020-08-22,,,,,,,,11725.0,19711.0,19513.0,2428.0,4082.0,4060.0,59484.0
2020-08-27,2578,4334,4315,40,67,88,59484,12395.0,20838.0,20640.0,2548.0,4284.0,4265.0,59484.0
2020-08-29,2595,4363,4341,40,67,88,59484.0,,,,,,,
2020-08-30,2622,4408,4385,41,69,90,59484.0,,,,,,,
2020-08-31,,,,,,,,12644.0,21256.0,21046.0,2596.0,4364.0,4339.0,59484.0
2020-09-01,"{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': 59484.0}",,,,,,,
2020-09-03,"{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': 59484.0}",,,,,,,
2020-09-04,"{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': nan}","{('City of Huntington Park',): nan, 'City of Huntington Park': 59484.0}",,,,,,,
2020-09-05,,,,,,,,12922.0,21723.0,21520.0,2661.0,4473.0,4448.0,59484.0
2020-09-07,{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan},{'City of Huntington Park': nan}
2020-09-08,2706,4549,4523,48,81,105,59484.0,,,,,,,
2020-09-09,2720,4573,4544,49,82,107,59484.0,,,,,,,
2020-09-10,2737,4601,4574,49,82,107,59484.0,,,,,,,
2020-09-11,2737,4601,4574,49,82,107,59484.0,,,,,,,
2020-09-12,2748,4620,4594,50,84,109,59484.0,,,,,,,
2020-09-13,2748,4620,4594,50,84,109,59484.0,,,,,,,
2020-09-14,2770,4657,4630,51,86,111,59484.0,,,,,,,
2020-09-15,2776,4667,4641,51,86,111,59484.0,,,,,,,
2020-09-16,2780,4674,4648,53,89,116,59484.0,,,,,,,
2020-09-17,2791,4692,4670,54,91,118,59484.0,,,,,,,
2020-09-20,2842,4778,4758,54,91,118,59484.0,,,,,,,
2020-09-21,2842,4778,4758,54,91,118,59484.0,,,,,,,
2020-09-22,"{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}","{('City of Huntington Park',): nan}"
2020-09-24,2898,4872,4869,55,92,119,59484.0,,,,,,,
