Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,320.0,73227.0,72699.0,27.0,6178.0,6271.0,437.0
2020-08-22,,,,,,,,320.0,73227.0,72699.0,27.0,6178.0,6271.0,437.0
2020-08-27,30,6865,7269,2,458,556,437,337.0,77117.0,76803.0,28.0,6407.0,6421.0,437.0
2020-08-29,30,6865,7269,2,458,556,437.0,,,,,,,
2020-08-30,30,6865,7269,2,458,556,437.0,,,,,,,
2020-08-31,,,,,,,,341.0,78032.0,77597.0,28.0,6407.0,6421.0,437.0
2020-09-01,"{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': 437.0}",,,,,,,
2020-09-03,"{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': 437.0}",,,,,,,
2020-09-04,"{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': nan}","{('City of Industry',): nan, 'City of Industry': 437.0}",,,,,,,
2020-09-05,,,,,,,,364.0,83295.0,83397.0,34.0,7780.0,7388.0,437.0
2020-09-07,{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan},{'City of Industry': nan}
2020-09-08,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-09,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-10,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-11,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-12,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-13,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-14,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-15,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-16,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-17,36,8238,8236,2,458,556,437.0,,,,,,,
2020-09-20,36,8238,8236,2,458,556,437.0,,,,,,,
