Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,20928.0,18425.0,18013.0,2468.0,2173.0,2146.0,113582.0
2020-08-22,,,,,,,,20928.0,18425.0,18013.0,2468.0,2173.0,2146.0,113582.0
2020-08-27,2585,2276,2251,82,72,78,113582,22273.0,19610.0,19181.0,2606.0,2294.0,2269.0,113582.0
2020-08-29,2602,2291,2265,82,72,78,113582.0,,,,,,,
2020-08-30,2622,2308,2283,82,72,78,113582.0,,,,,,,
2020-08-31,,,,,,,,22829.0,20099.0,19668.0,2661.0,2343.0,2316.0,113582.0
2020-09-01,"{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': 113582.0}",,,,,,,
2020-09-03,"{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': 113582.0}",,,,,,,
2020-09-04,"{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': nan}","{('City of Inglewood',): nan, 'City of Inglewood': 113582.0}",,,,,,,
2020-09-05,,,,,,,,23444.0,20641.0,20197.0,2721.0,2396.0,2367.0,113582.0
2020-09-07,{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan},{'City of Inglewood': nan}
