Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,344.0,23578.0,23240.0,59.0,4044.0,4092.0,1459.0
2020-08-22,,,,,,,,344.0,23578.0,23240.0,59.0,4044.0,4092.0,1459.0
2020-08-27,63,4318,4336,2,137,155,1459,369.0,25291.0,24968.0,61.0,4181.0,4204.0,1459.0
2020-08-29,64,4387,4403,2,137,155,1459.0,,,,,,,
2020-08-30,65,4455,4478,2,137,155,1459.0,,,,,,,
2020-08-31,,,,,,,,376.0,25771.0,25479.0,62.0,4249.0,4271.0,1459.0
2020-09-01,"{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': 1459.0}",,,,,,,
2020-09-03,"{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': 1459.0}",,,,,,,
2020-09-04,"{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': nan}","{('City of Irwindale',): nan, 'City of Irwindale': 1459.0}",,,,,,,
2020-09-05,,,,,,,,381.0,26114.0,25834.0,64.0,4387.0,4383.0,1459.0
2020-09-07,{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan},{'City of Irwindale': nan}
2020-09-08,67,4592,4590,2,137,155,1459.0,,,,,,,
2020-09-09,68,4661,4647,2,137,155,1459.0,,,,,,,
2020-09-10,68,4661,4647,2,137,155,1459.0,,,,,,,
