Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,97.0,1778.0,1926.0,23.0,422.0,457.0,5455.0
2020-08-22,,,,,,,,97.0,1778.0,1926.0,23.0,422.0,457.0,5455.0
2020-08-27,33,605,561,0,0,0,5455,98.0,1797.0,1941.0,24.0,440.0,472.0,5455.0
2020-08-29,34,623,576,0,0,0,5455.0,,,,,,,
2020-08-30,36,660,604,0,0,0,5455.0,,,,,,,
2020-08-31,,,,,,,,100.0,1833.0,1966.0,26.0,477.0,497.0,5455.0
2020-09-01,"{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': 5455.0}",,,,,,,
2020-09-03,"{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': 5455.0}",,,,,,,
2020-09-04,"{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': nan}","{('City of La Habra Heights',): nan, 'City of La Habra Heights': 5455.0}",,,,,,,
2020-09-05,,,,,,,,102.0,1870.0,2035.0,28.0,513.0,566.0,5455.0
2020-09-07,{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan},{'City of La Habra Heights': nan}
