Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,7182.0,17647.0,17307.0,1269.0,3118.0,3044.0,40697.0
2020-08-22,,,,,,,,7182.0,17647.0,17307.0,1269.0,3118.0,3044.0,40697.0
2020-08-27,1365,3354,3276,15,37,38,40697,7637.0,18766.0,18404.0,1367.0,3359.0,3276.0,40697.0
2020-08-29,1374,3376,3298,15,37,38,40697.0,,,,,,,
2020-08-30,1386,3406,3326,16,39,40,40697.0,,,,,,,
2020-08-31,,,,,,,,7816.0,19205.0,18832.0,1393.0,3423.0,3340.0,40697.0
2020-09-01,"{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': 40697.0}",,,,,,,
2020-09-03,"{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': 40697.0}",,,,,,,
2020-09-04,"{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': nan}","{('City of La Puente',): nan, 'City of La Puente': 40697.0}",,,,,,,
2020-09-05,,,,,,,,8004.0,19667.0,19279.0,1418.0,3484.0,3404.0,40697.0
2020-09-07,{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan},{'City of La Puente': nan}
