Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,20627.0,12767.0,12859.0,2507.0,1552.0,1570.0,161570.0
2020-08-22,,,,,,,,20627.0,12767.0,12859.0,2507.0,1552.0,1570.0,161570.0
2020-08-27,2844,1760,1785,38,24,30,161570,22398.0,13863.0,13967.0,2731.0,1690.0,1714.0,161570.0
2020-08-29,2870,1776,1801,38,24,30,161570.0,,,,,,,
2020-08-30,2903,1797,1822,39,24,30,161570.0,,,,,,,
2020-08-31,,,,,,,,23007.0,14240.0,14346.0,2815.0,1742.0,1765.0,161570.0
2020-09-01,"{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': 161570.0}",,,,,,,
2020-09-03,"{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': 161570.0}",,,,,,,
2020-09-04,"{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': nan}","{('City of Lancaster',): nan, 'City of Lancaster': 161570.0}",,,,,,,
2020-09-05,,,,,,,,23754.0,14702.0,14813.0,2909.0,1800.0,1821.0,161570.0
2020-09-07,{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan},{'City of Lancaster': nan}
