Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,15296.0,21231.0,21256.0,2703.0,3752.0,3806.0,72047.0
2020-08-22,,,,,,,,15296.0,21231.0,21256.0,2703.0,3752.0,3806.0,72047.0
2020-08-27,2921,4054,4168,86,119,187,72047,16137.0,22398.0,22420.0,2851.0,3957.0,4009.0,72047.0
2020-08-29,2936,4075,4188,87,121,190,72047.0,,,,,,,
2020-08-30,2954,4100,4215,87,121,190,72047.0,,,,,,,
2020-08-31,,,,,,,,16478.0,22871.0,22911.0,2902.0,4028.0,4081.0,72047.0
2020-09-01,"{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': 72047.0}",,,,,,,
2020-09-03,"{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': 72047.0}",,,,,,,
2020-09-04,"{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': nan}","{('City of Lynwood',): nan, 'City of Lynwood': 72047.0}",,,,,,,
2020-09-05,,,,,,,,16869.0,23414.0,23464.0,2986.0,4145.0,4198.0,72047.0
2020-09-07,{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan},{'City of Lynwood': nan}
2020-09-08,3066,4256,4369,92,128,199,72047.0,,,,,,,
2020-09-09,3085,4282,4398,93,129,202,72047.0,,,,,,,
2020-09-10,3102,4306,4423,94,130,204,72047.0,,,,,,,
2020-09-11,3102,4306,4423,94,130,204,72047.0,,,,,,,
2020-09-12,3112,4319,4438,95,132,206,72047.0,,,,,,,
2020-09-13,3112,4319,4438,95,132,206,72047.0,,,,,,,
2020-09-14,3126,4339,4457,95,132,206,72047.0,,,,,,,
2020-09-15,3133,4349,4467,95,132,206,72047.0,,,,,,,
