Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,2750.0,21218.0,19737.0,74.0,571.0,558.0,12961.0
2020-08-22,,,,,,,,2750.0,21218.0,19737.0,74.0,571.0,558.0,12961.0
2020-08-27,93,718,724,3,23,11,12961,2874.0,22174.0,20882.0,75.0,579.0,581.0,12961.0
2020-08-29,93,718,724,3,23,11,12961.0,,,,,,,
2020-08-30,95,733,735,3,23,11,12961.0,,,,,,,
2020-08-31,,,,,,,,2923.0,22552.0,21313.0,77.0,594.0,592.0,12961.0
2020-09-01,"{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': 12961.0}",,,,,,,
2020-09-03,"{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': 12961.0}",,,,,,,
2020-09-04,"{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': nan}","{('City of Malibu',): nan, 'City of Malibu': 12961.0}",,,,,,,
2020-09-05,,,,,,,,2982.0,23007.0,21813.0,82.0,633.0,637.0,12961.0
2020-09-07,{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan},{'City of Malibu': nan}
