Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,6322.0,17562.0,17472.0,270.0,750.0,752.0,35999.0
2020-08-22,,,,,,,,6322.0,17562.0,17472.0,270.0,750.0,752.0,35999.0
2020-08-27,310,861,857,4,11,10,35999,6813.0,18926.0,18826.0,283.0,786.0,790.0,35999.0
2020-08-29,310,861,857,4,11,10,35999.0,,,,,,,
2020-08-30,314,872,866,4,11,10,35999.0,,,,,,,
2020-08-31,,,,,,,,7002.0,19451.0,19347.0,284.0,789.0,789.0,35999.0
2020-09-01,"{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': 35999.0}",,,,,,,
2020-09-03,"{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': 35999.0}",,,,,,,
2020-09-04,"{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': nan}","{('City of Manhattan Beach',): nan, 'City of Manhattan Beach': 35999.0}",,,,,,,
2020-09-05,,,,,,,,7227.0,20076.0,19971.0,297.0,825.0,825.0,35999.0
2020-09-07,{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan},{'City of Manhattan Beach': nan}
