Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,5580.0,19894.0,20150.0,1215.0,4332.0,4516.0,28049.0
2020-08-22,,,,,,,,5580.0,19894.0,20150.0,1215.0,4332.0,4516.0,28049.0
2020-08-27,1285,4581,4752,31,111,165,28049,5876.0,20949.0,21214.0,1288.0,4592.0,4784.0,28049.0
2020-08-29,1291,4603,4770,31,111,165,28049.0,,,,,,,
2020-08-30,1300,4635,4805,31,111,165,28049.0,,,,,,,
2020-08-31,,,,,,,,6038.0,21527.0,21811.0,1319.0,4702.0,4894.0,28049.0
2020-09-01,"{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': 28049.0}",,,,,,,
2020-09-03,"{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': 28049.0}",,,,,,,
2020-09-04,"{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': nan}","{('City of Maywood',): nan, 'City of Maywood': 28049.0}",,,,,,,
2020-09-05,,,,,,,,6189.0,22065.0,22363.0,1355.0,4831.0,5033.0,28049.0
2020-09-07,{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan},{'City of Maywood': nan}
