Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,23779.0,14958.0,15192.0,3289.0,2069.0,2093.0,158968.0
2020-08-22,,,,,,,,23779.0,14958.0,15192.0,3289.0,2069.0,2093.0,158968.0
2020-08-27,3560,2239,2266,55,35,41,158968,25531.0,16060.0,16309.0,3565.0,2243.0,2269.0,158968.0
2020-08-29,3579,2251,2278,56,35,42,158968.0,,,,,,,
2020-08-30,3610,2271,2298,57,36,43,158968.0,,,,,,,
2020-08-31,,,,,,,,26196.0,16479.0,16729.0,3626.0,2281.0,2309.0,158968.0
2020-09-01,"{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': 158968.0}",,,,,,,
2020-09-03,"{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': 158968.0}",,,,,,,
2020-09-04,"{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': nan}","{('City of Palmdale',): nan, 'City of Palmdale': 158968.0}",,,,,,,
2020-09-05,,,,,,,,26995.0,16981.0,17246.0,3735.0,2350.0,2376.0,158968.0
2020-09-07,{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan},{'City of Palmdale': nan}
