Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,10736.0,15628.0,15898.0,454.0,661.0,686.0,68697.0
2020-08-22,,,,,,,,10736.0,15628.0,15898.0,454.0,661.0,686.0,68697.0
2020-08-27,510,742,772,9,13,14,68697,11538.0,16795.0,17118.0,474.0,690.0,719.0,68697.0
2020-08-29,510,742,772,9,13,14,68697.0,,,,,,,
2020-08-30,512,745,775,9,13,14,68697.0,,,,,,,
2020-08-31,,,,,,,,11818.0,17203.0,17551.0,476.0,693.0,722.0,68697.0
2020-09-01,"{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': 68697.0}",,,,,,,
2020-09-03,"{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': 68697.0}",,,,,,,
2020-09-04,"{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': nan}","{('City of Redondo Beach',): nan, 'City of Redondo Beach': 68697.0}",,,,,,,
2020-09-05,,,,,,,,12236.0,17812.0,18197.0,485.0,706.0,737.0,68697.0
2020-09-07,{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan},{'City of Redondo Beach': nan}
