Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1101.0,13571.0,15698.0,32.0,394.0,484.0,8113.0
2020-08-22,,,,,,,,1101.0,13571.0,15698.0,32.0,394.0,484.0,8113.0
2020-08-27,39,481,602,2,25,13,8113,1208.0,14890.0,17346.0,37.0,456.0,528.0,8113.0
2020-08-29,39,481,602,2,25,13,8113.0,,,,,,,
2020-08-30,39,481,602,2,25,13,8113.0,,,,,,,
2020-08-31,,,,,,,,1239.0,15272.0,17915.0,37.0,456.0,528.0,8113.0
2020-09-01,"{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': 8113.0}",,,,,,,
2020-09-03,"{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': 8113.0}",,,,,,,
2020-09-04,"{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': nan}","{('City of Rolling Hills Estates',): nan, 'City of Rolling Hills Estates': 8113.0}",,,,,,,
2020-09-05,,,,,,,,1267.0,15617.0,18298.0,38.0,468.0,538.0,8113.0
2020-09-07,{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan},{'City of Rolling Hills Estates': nan}
