Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1793.0,13505.0,14037.0,58.0,437.0,378.0,13277.0
2020-08-22,,,,,,,,1793.0,13505.0,14037.0,58.0,437.0,378.0,13277.0
2020-08-27,71,535,458,2,15,9,13277,1948.0,14672.0,15086.0,66.0,497.0,421.0,13277.0
2020-08-29,73,550,467,2,15,9,13277.0,,,,,,,
2020-08-30,75,565,480,2,15,9,13277.0,,,,,,,
2020-08-31,,,,,,,,2019.0,15207.0,15596.0,69.0,520.0,438.0,13277.0
2020-09-01,"{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': 13277.0}",,,,,,,
2020-09-03,"{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': 13277.0}",,,,,,,
2020-09-04,"{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': nan}","{('City of San Marino',): nan, 'City of San Marino': 13277.0}",,,,,,,
2020-09-05,,,,,,,,2108.0,15877.0,16359.0,76.0,572.0,490.0,13277.0
2020-09-07,{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan},{'City of San Marino': nan}
