Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,33878.0,15369.0,15217.0,2700.0,1225.0,1231.0,220424.0
2020-08-22,,,,,,,,33878.0,15369.0,15217.0,2700.0,1225.0,1231.0,220424.0
2020-08-27,2904,1317,1327,42,19,21,220424,36170.0,16409.0,16257.0,2913.0,1322.0,1331.0,220424.0
2020-08-29,2933,1331,1340,43,20,21,220424.0,,,,,,,
2020-08-30,2985,1354,1364,43,20,21,220424.0,,,,,,,
2020-08-31,,,,,,,,37209.0,16881.0,16718.0,3006.0,1364.0,1375.0,220424.0
2020-09-01,"{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': 220424.0}",,,,,,,
2020-09-03,"{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': 220424.0}",,,,,,,
2020-09-04,"{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': nan}","{('City of Santa Clarita',): nan, 'City of Santa Clarita': 220424.0}",,,,,,,
2020-09-05,,,,,,,,38386.0,17415.0,17250.0,3078.0,1396.0,1409.0,220424.0
2020-09-07,{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan},{'City of Santa Clarita': nan}
