Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,3337.0,18171.0,18202.0,448.0,2440.0,2443.0,18364.0
2020-08-22,,,,,,,,3337.0,18171.0,18202.0,448.0,2440.0,2443.0,18364.0
2020-08-27,492,2679,2675,5,27,23,18364,3544.0,19299.0,19320.0,490.0,2668.0,2675.0,18364.0
2020-08-29,497,2706,2703,5,27,23,18364.0,,,,,,,
2020-08-30,502,2734,2727,5,27,23,18364.0,,,,,,,
2020-08-31,,,,,,,,3625.0,19740.0,19756.0,501.0,2728.0,2738.0,18364.0
2020-09-01,"{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': 18364.0}",,,,,,,
2020-09-03,"{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': 18364.0}",,,,,,,
2020-09-04,"{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': nan}","{('City of Santa Fe Springs',): nan, 'City of Santa Fe Springs': 18364.0}",,,,,,,
2020-09-05,,,,,,,,3700.0,20148.0,20153.0,514.0,2799.0,2804.0,18364.0
2020-09-07,{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan},{'City of Santa Fe Springs': nan}
