Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,22217.0,24032.0,22685.0,670.0,725.0,678.0,92446.0
2020-08-22,,,,,,,,22217.0,24032.0,22685.0,670.0,725.0,678.0,92446.0
2020-08-27,764,826,775,40,43,31,92446,23953.0,25910.0,24563.0,716.0,775.0,732.0,92446.0
2020-08-29,770,833,783,40,43,31,92446.0,,,,,,,
2020-08-30,777,840,792,40,43,31,92446.0,,,,,,,
2020-08-31,,,,,,,,24587.0,26596.0,25231.0,732.0,792.0,750.0,92446.0
2020-09-01,"{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': 92446.0}",,,,,,,
2020-09-03,"{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': 92446.0}",,,,,,,
2020-09-04,"{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': nan}","{('City of Santa Monica',): nan, 'City of Santa Monica': 92446.0}",,,,,,,
2020-09-05,,,,,,,,25411.0,27487.0,26097.0,766.0,829.0,788.0,92446.0
2020-09-07,{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan},{'City of Santa Monica': nan}
