Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,21115.0,21512.0,21200.0,3767.0,3838.0,3775.0,98155.0
2020-08-22,,,,,,,,21115.0,21512.0,21200.0,3767.0,3838.0,3775.0,98155.0
2020-08-27,3989,4064,3998,62,63,82,98155,22239.0,22657.0,22319.0,3927.0,4001.0,3939.0,98155.0
2020-08-29,4014,4089,4024,62,63,82,98155.0,,,,,,,
2020-08-30,4055,4131,4066,62,63,82,98155.0,,,,,,,
2020-08-31,,,,,,,,22736.0,23163.0,22824.0,4007.0,4082.0,4020.0,98155.0
2020-09-01,"{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': 98155.0}",,,,,,,
2020-09-03,"{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': 98155.0}",,,,,,,
2020-09-04,"{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': nan}","{('City of South Gate',): nan, 'City of South Gate': 98155.0}",,,,,,,
2020-09-05,,,,,,,,23291.0,23729.0,23390.0,4095.0,4172.0,4112.0,98155.0
2020-09-07,{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan},{'City of South Gate': nan}
