Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,19917.0,13343.0,13045.0,1113.0,746.0,726.0,149268.0
2020-08-22,,,,,,,,19917.0,13343.0,13045.0,1113.0,746.0,726.0,149268.0
2020-08-27,1271,851,825,64,43,31,149268,21288.0,14262.0,13953.0,1176.0,788.0,770.0,149268.0
2020-08-29,1279,857,832,64,43,31,149268.0,,,,,,,
2020-08-30,1290,864,840,64,43,31,149268.0,,,,,,,
2020-08-31,,,,,,,,21763.0,14580.0,14282.0,1202.0,805.0,789.0,149268.0
2020-09-01,"{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': 149268.0}",,,,,,,
2020-09-03,"{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': 149268.0}",,,,,,,
2020-09-04,"{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': nan}","{('City of Torrance',): nan, 'City of Torrance': 149268.0}",,,,,,,
2020-09-05,,,,,,,,22389.0,14999.0,14700.0,1239.0,830.0,814.0,149268.0
2020-09-07,{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan},{'City of Torrance': nan}
