Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,3631.0,11892.0,11517.0,231.0,757.0,765.0,30532.0
2020-08-22,,,,,,,,3631.0,11892.0,11517.0,231.0,757.0,765.0,30532.0
2020-08-27,241,789,804,3,10,6,30532,3873.0,12685.0,12252.0,239.0,783.0,796.0,30532.0
2020-08-29,242,793,805,3,10,6,30532.0,,,,,,,
2020-08-30,242,793,805,3,10,6,30532.0,,,,,,,
2020-08-31,,,,,,,,3975.0,13019.0,12566.0,241.0,789.0,799.0,30532.0
2020-09-01,"{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': 30532.0}",,,,,,,
2020-09-03,"{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': 30532.0}",,,,,,,
2020-09-04,"{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': nan}","{('City of Walnut',): nan, 'City of Walnut': 30532.0}",,,,,,,
2020-09-05,,,,,,,,4105.0,13445.0,12995.0,245.0,802.0,818.0,30532.0
2020-09-07,{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan},{'City of Walnut': nan}
