Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,243.0,2907.0,3027.0,18.0,215.0,277.0,8360.0
2020-08-22,,,,,,,,243.0,2907.0,3027.0,18.0,215.0,277.0,8360.0
2020-08-27,28,335,383,0,0,0,8360,262.0,3134.0,3189.0,21.0,251.0,296.0,8360.0
2020-08-29,28,335,383,0,0,0,8360.0,,,,,,,
2020-08-30,28,335,383,0,0,0,8360.0,,,,,,,
2020-08-31,,,,,,,,266.0,3182.0,3228.0,21.0,251.0,296.0,8360.0
2020-09-01,"{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': 8360.0}",,,,,,,
2020-09-03,"{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': 8360.0}",,,,,,,
2020-09-04,"{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': nan}","{('City of Westlake Village',): nan, 'City of Westlake Village': 8360.0}",,,,,,,
2020-09-05,,,,,,,,278.0,3325.0,3405.0,22.0,263.0,310.0,8360.0
2020-09-07,{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan},{'City of Westlake Village': nan}
