Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,14616.0,16717.0,16489.0,1785.0,2042.0,2008.0,87432.0
2020-08-22,,,,,,,,14616.0,16717.0,16489.0,1785.0,2042.0,2008.0,87432.0
2020-08-27,1990,2276,2234,26,30,28,87432,15662.0,17913.0,17673.0,1902.0,2175.0,2144.0,87432.0
2020-08-29,1994,2281,2238,26,30,28,87432.0,,,,,,,
2020-08-30,2007,2296,2254,26,30,28,87432.0,,,,,,,
2020-08-31,,,,,,,,16011.0,18313.0,18063.0,1928.0,2205.0,2174.0,87432.0
2020-09-01,"{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': 87432.0}",,,,,,,
2020-09-03,"{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': 87432.0}",,,,,,,
2020-09-04,"{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': nan}","{('City of Whittier',): nan, 'City of Whittier': 87432.0}",,,,,,,
2020-09-05,,,,,,,,16438.0,18801.0,18547.0,1994.0,2281.0,2251.0,87432.0
2020-09-07,{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan},{'City of Whittier': nan}
