Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,2264.0,18192.0,17675.0,317.0,2547.0,2451.0,12445.0
2020-08-22,,,,,,,,2264.0,18192.0,17675.0,317.0,2547.0,2451.0,12445.0
2020-08-27,323,2595,2489,2,16,24,12445,2409.0,19357.0,18821.0,339.0,2724.0,2619.0,12445.0
2020-08-29,325,2611,2506,2,16,24,12445.0,,,,,,,
2020-08-30,333,2676,2568,2,16,24,12445.0,,,,,,,
2020-08-31,,,,,,,,2479.0,19920.0,19386.0,355.0,2853.0,2739.0,12445.0
2020-09-01,"{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': 12445.0}",,,,,,,
2020-09-03,"{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': 12445.0}",,,,,,,
2020-09-04,"{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': nan}","{('Los Angeles - Alsace',): nan, 'Los Angeles - Alsace': 12445.0}",,,,,,,
2020-09-05,,,,,,,,2549.0,20482.0,19938.0,364.0,2925.0,2808.0,12445.0
2020-09-07,{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan},{'Los Angeles - Alsace': nan}
