Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,2659.0,21230.0,23416.0,90.0,719.0,850.0,12525.0
2020-08-22,,,,,,,,2659.0,21230.0,23416.0,90.0,719.0,850.0,12525.0
2020-08-27,104,830,963,2,16,9,12525,2880.0,22994.0,25453.0,95.0,758.0,894.0,12525.0
2020-08-29,104,830,963,2,16,9,12525.0,,,,,,,
2020-08-30,104,830,963,2,16,9,12525.0,,,,,,,
2020-08-31,,,,,,,,2947.0,23529.0,26080.0,95.0,758.0,893.0,12525.0
2020-09-01,"{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': 12525.0}",,,,,,,
2020-09-03,"{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': 12525.0}",,,,,,,
2020-09-04,"{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': nan}","{('Los Angeles - Beverly Crest',): nan, 'Los Angeles - Beverly Crest': 12525.0}",,,,,,,
2020-09-05,,,,,,,,3051.0,24359.0,27011.0,101.0,806.0,937.0,12525.0
2020-09-07,{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan},{'Los Angeles - Beverly Crest': nan}
