Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,21432.0,24667.0,24475.0,3798.0,4371.0,4341.0,86884.0
2020-08-22,,,,,,,,21432.0,24667.0,24475.0,3798.0,4371.0,4341.0,86884.0
2020-08-27,3980,4581,4566,59,68,79,86884,22744.0,26177.0,26001.0,4000.0,4604.0,4575.0,86884.0
2020-08-29,3998,4602,4586,60,69,81,86884.0,,,,,,,
2020-08-30,4020,4627,4612,60,69,81,86884.0,,,,,,,
2020-08-31,,,,,,,,23271.0,26784.0,26617.0,4052.0,4664.0,4635.0,86884.0
2020-09-01,"{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': 86884.0}",,,,,,,
2020-09-03,"{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': 86884.0}",,,,,,,
2020-09-04,"{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': nan}","{('Los Angeles - Boyle Heights',): nan, 'Los Angeles - Boyle Heights': 86884.0}",,,,,,,
2020-09-05,,,,,,,,23715.0,27295.0,27121.0,4096.0,4714.0,4683.0,86884.0
2020-09-07,{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan},{'Los Angeles - Boyle Heights': nan}
2020-09-08,4068,4682,4664,61,70,82,86884.0,,,,,,,
2020-09-09,4081,4697,4679,61,70,82,86884.0,,,,,,,
