Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,151.0,25990.0,30014.0,3.0,516.0,485.0,581.0
2020-08-22,,,,,,,,151.0,25990.0,30014.0,3.0,516.0,485.0,581.0
2020-08-27,3,516,485,0,0,0,581,160.0,27539.0,32184.0,3.0,516.0,485.0,581.0
2020-08-29,3,516,485,0,0,0,581.0,,,,,,,
2020-08-30,3,516,485,0,0,0,581.0,,,,,,,
2020-08-31,,,,,,,,165.0,28399.0,33166.0,3.0,516.0,485.0,581.0
2020-09-01,"{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': 581.0}",,,,,,,
2020-09-03,"{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': 581.0}",,,,,,,
2020-09-04,"{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': nan}","{('Los Angeles - Brookside',): nan, 'Los Angeles - Brookside': 581.0}",,,,,,,
2020-09-05,,,,,,,,176.0,30293.0,35821.0,3.0,516.0,485.0,581.0
2020-09-07,{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan},{'Los Angeles - Brookside': nan}
