Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,1256.0,17638.0,16967.0,105.0,1475.0,1423.0,7121.0
2020-08-22,,,,,,,,1256.0,17638.0,16967.0,105.0,1475.0,1423.0,7121.0
2020-08-27,109,1531,1485,1,14,27,7121,1339.0,18804.0,18068.0,108.0,1517.0,1460.0,7121.0
2020-08-29,109,1531,1485,1,14,27,7121.0,,,,,,,
2020-08-30,111,1559,1512,1,14,27,7121.0,,,,,,,
2020-08-31,,,,,,,,1381.0,19393.0,18620.0,111.0,1559.0,1503.0,7121.0
2020-09-01,"{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': 7121.0}",,,,,,,
2020-09-03,"{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': 7121.0}",,,,,,,
2020-09-04,"{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': nan}","{('Los Angeles - Cadillac-Corning',): nan, 'Los Angeles - Cadillac-Corning': 7121.0}",,,,,,,
2020-09-05,,,,,,,,1421.0,19955.0,19139.0,116.0,1629.0,1577.0,7121.0
2020-09-07,{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan},{'Los Angeles - Cadillac-Corning': nan}
