Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,4078.0,28392.0,38039.0,183.0,1274.0,1531.0,14363.0
2020-08-22,,,,,,,,4078.0,28392.0,38039.0,183.0,1274.0,1531.0,14363.0
2020-08-27,192,1337,1664,14,97,46,14363,4350.0,30286.0,41225.0,185.0,1288.0,1565.0,14363.0
2020-08-29,194,1351,1675,14,97,46,14363.0,,,,,,,
2020-08-30,196,1365,1709,14,97,46,14363.0,,,,,,,
2020-08-31,,,,,,,,4472.0,31136.0,42603.0,188.0,1309.0,1602.0,14363.0
2020-09-01,"{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': 14363.0}",,,,,,,
2020-09-03,"{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': 14363.0}",,,,,,,
2020-09-04,"{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': nan}","{('Los Angeles - Carthay',): nan, 'Los Angeles - Carthay': 14363.0}",,,,,,,
2020-09-05,,,,,,,,4595.0,31992.0,43870.0,190.0,1323.0,1680.0,14363.0
2020-09-07,{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan},{'Los Angeles - Carthay': nan}
