Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,8959.0,22977.0,23593.0,1868.0,4791.0,4870.0,38992.0
2020-08-22,,,,,,,,8959.0,22977.0,23593.0,1868.0,4791.0,4870.0,38992.0
2020-08-27,1948,4996,5071,39,100,142,38992,9514.0,24400.0,25046.0,1980.0,5078.0,5164.0,38992.0
2020-08-29,1964,5037,5109,39,100,142,38992.0,,,,,,,
2020-08-30,1996,5119,5191,40,103,148,38992.0,,,,,,,
2020-08-31,,,,,,,,9726.0,24944.0,25605.0,2034.0,5216.0,5298.0,38992.0
2020-09-01,"{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': 38992.0}",,,,,,,
2020-09-03,"{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': 38992.0}",,,,,,,
2020-09-04,"{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': nan}","{('Los Angeles - Central',): nan, 'Los Angeles - Central': 38992.0}",,,,,,,
2020-09-05,,,,,,,,9941.0,25495.0,26171.0,2085.0,5347.0,5438.0,38992.0
2020-09-07,{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan},{'Los Angeles - Central': nan}
2020-09-08,2052,5263,5344,41,105,153,38992.0,,,,,,,
