Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,6981.0,20675.0,21042.0,1335.0,3954.0,4054.0,33766.0
2020-08-22,,,,,,,,6981.0,20675.0,21042.0,1335.0,3954.0,4054.0,33766.0
2020-08-27,1373,4066,4155,18,53,74,33766,7383.0,21865.0,22240.0,1401.0,4149.0,4256.0,33766.0
2020-08-29,1386,4105,4197,18,53,74,33766.0,,,,,,,
2020-08-30,1394,4128,4219,18,53,74,33766.0,,,,,,,
2020-08-31,,,,,,,,7544.0,22342.0,22719.0,1423.0,4214.0,4323.0,33766.0
2020-09-01,"{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': 33766.0}",,,,,,,
2020-09-03,"{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': 33766.0}",,,,,,,
2020-09-04,"{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': nan}","{('Los Angeles - Century Palms/Cove',): nan, 'Los Angeles - Century Palms/Cove': 33766.0}",,,,,,,
2020-09-05,,,,,,,,7722.0,22869.0,23235.0,1456.0,4312.0,4416.0,33766.0
2020-09-07,{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan},{'Los Angeles - Century Palms/Cove': nan}
