Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,8082.0,21807.0,21029.0,553.0,1492.0,1509.0,37061.0
2020-08-22,,,,,,,,8082.0,21807.0,21029.0,553.0,1492.0,1509.0,37061.0
2020-08-27,593,1600,1588,34,92,58,37061,8503.0,22943.0,22113.0,575.0,1552.0,1572.0,37061.0
2020-08-29,595,1605,1593,34,92,58,37061.0,,,,,,,
2020-08-30,597,1611,1598,34,92,58,37061.0,,,,,,,
2020-08-31,,,,,,,,8659.0,23364.0,22509.0,582.0,1570.0,1592.0,37061.0
2020-09-01,"{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': 37061.0}",,,,,,,
2020-09-03,"{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': 37061.0}",,,,,,,
2020-09-04,"{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': nan}","{('Los Angeles - Chatsworth',): nan, 'Los Angeles - Chatsworth': 37061.0}",,,,,,,
2020-09-05,,,,,,,,8880.0,23960.0,23101.0,601.0,1622.0,1654.0,37061.0
2020-09-07,{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan},{'Los Angeles - Chatsworth': nan}
