Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,2971.0,20415.0,19612.0,263.0,1807.0,1739.0,14553.0
2020-08-22,,,,,,,,2971.0,20415.0,19612.0,263.0,1807.0,1739.0,14553.0
2020-08-27,272,1869,1791,5,34,37,14553,3180.0,21851.0,21005.0,286.0,1965.0,1888.0,14553.0
2020-08-29,273,1876,1799,5,34,37,14553.0,,,,,,,
2020-08-30,277,1903,1827,5,34,37,14553.0,,,,,,,
2020-08-31,,,,,,,,3249.0,22325.0,21455.0,292.0,2006.0,1931.0,14553.0
2020-09-01,"{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': 14553.0}",,,,,,,
2020-09-03,"{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': 14553.0}",,,,,,,
2020-09-04,"{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': nan}","{('Los Angeles - Cloverdale/Cochran',): nan, 'Los Angeles - Cloverdale/Cochran': 14553.0}",,,,,,,
2020-09-05,,,,,,,,3351.0,23026.0,22152.0,298.0,2048.0,1973.0,14553.0
2020-09-07,{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan},{'Los Angeles - Cloverdale/Cochran': nan}
