Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,3006.0,19838.0,19059.0,242.0,1597.0,1485.0,15153.0
2020-08-22,,,,,,,,3006.0,19838.0,19059.0,242.0,1597.0,1485.0,15153.0
2020-08-27,272,1795,1662,22,145,108,15153,3253.0,21468.0,20614.0,251.0,1656.0,1544.0,15153.0
2020-08-29,272,1795,1662,22,145,108,15153.0,,,,,,,
2020-08-30,274,1808,1677,22,145,108,15153.0,,,,,,,
2020-08-31,,,,,,,,3407.0,22484.0,21536.0,253.0,1670.0,1559.0,15153.0
2020-09-01,"{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': 15153.0}",,,,,,,
2020-09-03,"{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': 15153.0}",,,,,,,
2020-09-04,"{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': nan}","{('Los Angeles - Country Club Park',): nan, 'Los Angeles - Country Club Park': 15153.0}",,,,,,,
2020-09-05,,,,,,,,3574.0,23586.0,22527.0,266.0,1755.0,1630.0,15153.0
2020-09-07,{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan},{'Los Angeles - Country Club Park': nan}
