Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,2717.0,23900.0,24488.0,158.0,1390.0,1379.0,11368.0
2020-08-22,,,,,,,,2717.0,23900.0,24488.0,158.0,1390.0,1379.0,11368.0
2020-08-27,176,1548,1517,20,176,158,11368,2938.0,25844.0,26568.0,167.0,1469.0,1465.0,11368.0
2020-08-29,176,1548,1517,20,176,158,11368.0,,,,,,,
2020-08-30,177,1557,1524,20,176,158,11368.0,,,,,,,
2020-08-31,,,,,,,,3037.0,26715.0,27520.0,168.0,1478.0,1475.0,11368.0
2020-09-01,"{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': 11368.0}",,,,,,,
2020-09-03,"{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': 11368.0}",,,,,,,
2020-09-04,"{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': nan}","{('Los Angeles - Crestview',): nan, 'Los Angeles - Crestview': 11368.0}",,,,,,,
2020-09-05,,,,,,,,3123.0,27472.0,28307.0,171.0,1504.0,1504.0,11368.0
2020-09-07,{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan},{'Los Angeles - Crestview': nan}
