Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,10345.0,26131.0,26013.0,554.0,1399.0,1362.0,39589.0
2020-08-22,,,,,,,,10345.0,26131.0,26013.0,554.0,1399.0,1362.0,39589.0
2020-08-27,592,1495,1445,18,45,31,39589,11053.0,27919.0,27814.0,586.0,1480.0,1440.0,39589.0
2020-08-29,601,1518,1464,18,45,31,39589.0,,,,,,,
2020-08-30,604,1526,1471,18,45,31,39589.0,,,,,,,
2020-08-31,,,,,,,,11381.0,28748.0,28646.0,599.0,1513.0,1468.0,39589.0
2020-09-01,"{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': 39589.0}",,,,,,,
2020-09-03,"{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': 39589.0}",,,,,,,
2020-09-04,"{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': nan}","{('Los Angeles - Eagle Rock',): nan, 'Los Angeles - Eagle Rock': 39589.0}",,,,,,,
2020-09-05,,,,,,,,11742.0,29660.0,29526.0,610.0,1541.0,1492.0,39589.0
2020-09-07,{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan},{'Los Angeles - Eagle Rock': nan}
