Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,2578.0,25347.0,24482.0,216.0,2124.0,2055.0,10171.0
2020-08-22,,,,,,,,2578.0,25347.0,24482.0,216.0,2124.0,2055.0,10171.0
2020-08-27,236,2320,2255,3,30,27,10171,2765.0,27185.0,26270.0,228.0,2242.0,2179.0,10171.0
2020-08-29,239,2350,2287,3,30,27,10171.0,,,,,,,
2020-08-30,240,2360,2298,3,30,27,10171.0,,,,,,,
2020-08-31,,,,,,,,2823.0,27755.0,26802.0,233.0,2291.0,2232.0,10171.0
2020-09-01,"{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': 10171.0}",,,,,,,
2020-09-03,"{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': 10171.0}",,,,,,,
2020-09-04,"{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': nan}","{('Los Angeles - Elysian Valley',): nan, 'Los Angeles - Elysian Valley': 10171.0}",,,,,,,
2020-09-05,,,,,,,,2909.0,28601.0,27635.0,237.0,2330.0,2267.0,10171.0
2020-09-07,{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan},{'Los Angeles - Elysian Valley': nan}
