Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,7946.0,17690.0,17579.0,1144.0,2547.0,2604.0,44917.0
2020-08-22,,,,,,,,7946.0,17690.0,17579.0,1144.0,2547.0,2604.0,44917.0
2020-08-27,1196,2663,2708,21,47,64,44917,8755.0,19492.0,19124.0,1211.0,2696.0,2730.0,44917.0
2020-08-29,1203,2678,2722,21,47,64,44917.0,,,,,,,
2020-08-30,1214,2703,2746,21,47,64,44917.0,,,,,,,
2020-08-31,,,,,,,,9058.0,20166.0,19682.0,1232.0,2743.0,2774.0,44917.0
2020-09-01,"{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': 44917.0}",,,,,,,
2020-09-03,"{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': 44917.0}",,,,,,,
2020-09-04,"{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': nan}","{('Los Angeles - Exposition Park',): nan, 'Los Angeles - Exposition Park': 44917.0}",,,,,,,
2020-09-05,,,,,,,,9351.0,20818.0,20291.0,1267.0,2821.0,2856.0,44917.0
2020-09-07,{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan},{'Los Angeles - Exposition Park': nan}
