Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,746.0,20722.0,19981.0,23.0,639.0,590.0,3600.0
2020-08-22,,,,,,,,746.0,20722.0,19981.0,23.0,639.0,590.0,3600.0
2020-08-27,29,806,733,2,56,46,3600,814.0,22611.0,21925.0,26.0,722.0,668.0,3600.0
2020-08-29,29,806,733,2,56,46,3600.0,,,,,,,
2020-08-30,29,806,733,2,56,46,3600.0,,,,,,,
2020-08-31,,,,,,,,834.0,23167.0,22472.0,27.0,750.0,688.0,3600.0
2020-09-01,"{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': 3600.0}",,,,,,,
2020-09-03,"{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': 3600.0}",,,,,,,
2020-09-04,"{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': nan}","{('Los Angeles - Faircrest Heights',): nan, 'Los Angeles - Faircrest Heights': 3600.0}",,,,,,,
2020-09-05,,,,,,,,861.0,23917.0,23170.0,27.0,750.0,692.0,3600.0
2020-09-07,{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan},{'Los Angeles - Faircrest Heights': nan}
