Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,10456.0,22038.0,22244.0,2011.0,4239.0,4285.0,47445.0
2020-08-22,,,,,,,,10456.0,22038.0,22244.0,2011.0,4239.0,4285.0,47445.0
2020-08-27,2085,4395,4436,25,53,78,47445,11078.0,23349.0,23586.0,2109.0,4445.0,4493.0,47445.0
2020-08-29,2095,4416,4459,25,53,78,47445.0,,,,,,,
2020-08-30,2111,4449,4490,25,53,78,47445.0,,,,,,,
2020-08-31,,,,,,,,11344.0,23910.0,24181.0,2138.0,4506.0,4558.0,47445.0
2020-09-01,"{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': 47445.0}",,,,,,,
2020-09-03,"{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': 47445.0}",,,,,,,
2020-09-04,"{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': nan}","{('Los Angeles - Florence-Firestone',): nan, 'Los Angeles - Florence-Firestone': 47445.0}",,,,,,,
2020-09-05,,,,,,,,11647.0,24548.0,24828.0,2185.0,4605.0,4648.0,47445.0
2020-09-07,{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan},{'Los Angeles - Florence-Firestone': nan}
2020-09-08,2161,4555,4601,26,55,81,47445.0,,,,,,,
2020-09-09,2166,4565,4610,26,55,81,47445.0,,,,,,,
2020-09-10,2174,4582,4625,27,57,83,47445.0,,,,,,,
