Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,7346.0,23244.0,23121.0,571.0,1807.0,1767.0,31604.0
2020-08-22,,,,,,,,7346.0,23244.0,23121.0,571.0,1807.0,1767.0,31604.0
2020-08-27,610,1930,1878,13,41,34,31604,7879.0,24930.0,24810.0,599.0,1895.0,1853.0,31604.0
2020-08-29,615,1946,1891,13,41,34,31604.0,,,,,,,
2020-08-30,624,1974,1919,13,41,34,31604.0,,,,,,,
2020-08-31,,,,,,,,8098.0,25623.0,25505.0,615.0,1946.0,1901.0,31604.0
2020-09-01,"{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': 31604.0}",,,,,,,
2020-09-03,"{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': 31604.0}",,,,,,,
2020-09-04,"{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': nan}","{('Los Angeles - Glassell Park',): nan, 'Los Angeles - Glassell Park': 31604.0}",,,,,,,
2020-09-05,,,,,,,,8343.0,26399.0,26278.0,630.0,1993.0,1947.0,31604.0
2020-09-07,{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan},{'Los Angeles - Glassell Park': nan}
