Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,4519.0,21014.0,21206.0,839.0,3901.0,3924.0,21505.0
2020-08-22,,,,,,,,4519.0,21014.0,21206.0,839.0,3901.0,3924.0,21505.0
2020-08-27,876,4073,4104,11,51,68,21505,4823.0,22427.0,22659.0,894.0,4157.0,4176.0,21505.0
2020-08-29,883,4106,4138,11,51,68,21505.0,,,,,,,
2020-08-30,882,4101,4135,11,51,68,21505.0,,,,,,,
2020-08-31,,,,,,,,4926.0,22906.0,23155.0,904.0,4204.0,4225.0,21505.0
2020-09-01,"{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': 21505.0}",,,,,,,
2020-09-03,"{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': 21505.0}",,,,,,,
2020-09-04,"{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': nan}","{('Los Angeles - Green Meadows',): nan, 'Los Angeles - Green Meadows': 21505.0}",,,,,,,
2020-09-05,,,,,,,,5039.0,23432.0,23681.0,919.0,4273.0,4292.0,21505.0
2020-09-07,{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan},{'Los Angeles - Green Meadows': nan}
