Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,3993.0,13736.0,13518.0,414.0,1424.0,1422.0,29070.0
2020-08-22,,,,,,,,3993.0,13736.0,13518.0,414.0,1424.0,1422.0,29070.0
2020-08-27,445,1531,1520,10,34,27,29070,4236.0,14572.0,14343.0,439.0,1510.0,1510.0,29070.0
2020-08-29,445,1531,1520,10,34,27,29070.0,,,,,,,
2020-08-30,448,1541,1531,10,34,27,29070.0,,,,,,,
2020-08-31,,,,,,,,4321.0,14864.0,14632.0,443.0,1524.0,1525.0,29070.0
2020-09-01,"{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': 29070.0}",,,,,,,
2020-09-03,"{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': 29070.0}",,,,,,,
2020-09-04,"{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': nan}","{('Los Angeles - Harbor City',): nan, 'Los Angeles - Harbor City': 29070.0}",,,,,,,
2020-09-05,,,,,,,,4432.0,15246.0,15009.0,456.0,1569.0,1570.0,29070.0
2020-09-07,{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan},{'Los Angeles - Harbor City': nan}
