Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,7277.0,24723.0,26228.0,231.0,785.0,880.0,29434.0
2020-08-22,,,,,,,,7277.0,24723.0,26228.0,231.0,785.0,880.0,29434.0
2020-08-27,249,846,939,7,24,22,29434,7877.0,26762.0,28556.0,236.0,802.0,901.0,29434.0
2020-08-29,250,849,942,7,24,22,29434.0,,,,,,,
2020-08-30,252,856,946,7,24,22,29434.0,,,,,,,
2020-08-31,,,,,,,,8140.0,27655.0,29538.0,241.0,819.0,921.0,29434.0
2020-09-01,"{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': 29434.0}",,,,,,,
2020-09-03,"{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': 29434.0}",,,,,,,
2020-09-04,"{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': nan}","{('Los Angeles - Hollywood Hills',): nan, 'Los Angeles - Hollywood Hills': 29434.0}",,,,,,,
2020-09-05,,,,,,,,8433.0,28651.0,30536.0,247.0,839.0,936.0,29434.0
2020-09-07,{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan},{'Los Angeles - Hollywood Hills': nan}
