Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,15279.0,22386.0,19367.0,946.0,1386.0,1254.0,68254.0
2020-08-22,,,,,,,,15279.0,22386.0,19367.0,946.0,1386.0,1254.0,68254.0
2020-08-27,1041,1525,1381,11,16,17,68254,16477.0,24141.0,20945.0,1007.0,1475.0,1344.0,68254.0
2020-08-29,1050,1538,1393,12,18,19,68254.0,,,,,,,
2020-08-30,1059,1552,1406,12,18,19,68254.0,,,,,,,
2020-08-31,,,,,,,,16902.0,24763.0,21493.0,1029.0,1508.0,1376.0,68254.0
2020-09-01,"{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': 68254.0}",,,,,,,
2020-09-03,"{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': 68254.0}",,,,,,,
2020-09-04,"{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': nan}","{('Los Angeles - Hollywood',): nan, 'Los Angeles - Hollywood': 68254.0}",,,,,,,
2020-09-05,,,,,,,,17441.0,25553.0,22174.0,1063.0,1557.0,1422.0,68254.0
2020-09-07,{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan},{'Los Angeles - Hollywood': nan}
