Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,6107.0,21397.0,21095.0,684.0,2397.0,2355.0,28541.0
2020-08-22,,,,,,,,6107.0,21397.0,21095.0,684.0,2397.0,2355.0,28541.0
2020-08-27,726,2544,2502,14,49,41,28541,6479.0,22701.0,22389.0,723.0,2533.0,2499.0,28541.0
2020-08-29,729,2554,2513,14,49,41,28541.0,,,,,,,
2020-08-30,736,2579,2536,14,49,41,28541.0,,,,,,,
2020-08-31,,,,,,,,6618.0,23188.0,22871.0,733.0,2568.0,2533.0,28541.0
2020-09-01,"{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': 28541.0}",,,,,,,
2020-09-03,"{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': 28541.0}",,,,,,,
2020-09-04,"{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': nan}","{('Los Angeles - Hyde Park',): nan, 'Los Angeles - Hyde Park': 28541.0}",,,,,,,
2020-09-05,,,,,,,,6802.0,23832.0,23500.0,749.0,2624.0,2587.0,28541.0
2020-09-07,{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan},{'Los Angeles - Hyde Park': nan}
