Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,3262.0,21411.0,20661.0,253.0,1661.0,1638.0,15235.0
2020-08-22,,,,,,,,3262.0,21411.0,20661.0,253.0,1661.0,1638.0,15235.0
2020-08-27,270,1772,1757,7,46,32,15235,3468.0,22763.0,22003.0,264.0,1733.0,1700.0,15235.0
2020-08-29,273,1792,1775,7,46,32,15235.0,,,,,,,
2020-08-30,274,1798,1782,7,46,32,15235.0,,,,,,,
2020-08-31,,,,,,,,3552.0,23315.0,22554.0,272.0,1785.0,1749.0,15235.0
2020-09-01,"{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': 15235.0}",,,,,,,
2020-09-03,"{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': 15235.0}",,,,,,,
2020-09-04,"{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': nan}","{('Los Angeles - Leimert Park',): nan, 'Los Angeles - Leimert Park': 15235.0}",,,,,,,
2020-09-05,,,,,,,,3661.0,24030.0,23277.0,276.0,1812.0,1771.0,15235.0
2020-09-07,{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan},{'Los Angeles - Leimert Park': nan}
