Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,8043.0,24674.0,24131.0,913.0,2801.0,2755.0,32597.0
2020-08-22,,,,,,,,8043.0,24674.0,24131.0,913.0,2801.0,2755.0,32597.0
2020-08-27,968,2970,2905,46,141,120,32597,8487.0,26036.0,25468.0,961.0,2948.0,2897.0,32597.0
2020-08-29,971,2979,2915,46,141,120,32597.0,,,,,,,
2020-08-30,979,3003,2938,46,141,120,32597.0,,,,,,,
2020-08-31,,,,,,,,8664.0,26579.0,25998.0,976.0,2994.0,2940.0,32597.0
2020-09-01,"{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': 32597.0}",,,,,,,
2020-09-03,"{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': 32597.0}",,,,,,,
2020-09-04,"{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': nan}","{('Los Angeles - Lincoln Heights',): nan, 'Los Angeles - Lincoln Heights': 32597.0}",,,,,,,
2020-09-05,,,,,,,,8869.0,27208.0,26620.0,1001.0,3071.0,3012.0,32597.0
2020-09-07,{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan},{'Los Angeles - Lincoln Heights': nan}
