Date,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
2020-08-19,,,,,,,,5051.0,17821.0,17456.0,410.0,1447.0,1433.0,28343.0
2020-08-22,,,,,,,,5051.0,17821.0,17456.0,410.0,1447.0,1433.0,28343.0
2020-08-27,445,1570,1567,5,18,19,28343,5419.0,19119.0,18773.0,440.0,1552.0,1544.0,28343.0
2020-08-29,447,1577,1574,5,18,19,28343.0,,,,,,,
2020-08-30,450,1588,1584,5,18,19,28343.0,,,,,,,
2020-08-31,,,,,,,,5537.0,19536.0,19185.0,446.0,1574.0,1563.0,28343.0
2020-09-01,"{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': 28343.0}",,,,,,,
2020-09-03,"{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': 28343.0}",,,,,,,
2020-09-04,"{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': nan}","{('Los Angeles - Little Bangladesh',): nan, 'Los Angeles - Little Bangladesh': 28343.0}",,,,,,,
2020-09-05,,,,,,,,5699.0,20107.0,19763.0,459.0,1619.0,1606.0,28343.0
2020-09-07,{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan},{'Los Angeles - Little Bangladesh': nan}
